"id","confidence_level","confidence_value","order"
10365,"upper_CI",,99470
10366,"lower_CI",,531
10366,"upper_CI",,99468
10367,"lower_CI",,533
10367,"upper_CI",,99466
10368,"lower_CI",,535
10368,"upper_CI",,99464
10369,"lower_CI",,537
10369,"upper_CI",,99462
10370,"lower_CI",,539
10370,"upper_CI",,99460
10371,"lower_CI",,541
10371,"upper_CI",,99458
10372,"lower_CI",,543
10372,"upper_CI",,99456
10373,"lower_CI",,545
10373,"upper_CI",,99454
10374,"lower_CI",,547
10374,"upper_CI",,99452
10375,"lower_CI",,549
10375,"upper_CI",,99450
10376,"lower_CI",,551
10376,"upper_CI",,99448
10377,"lower_CI",,553
10377,"upper_CI",,99446
10479,"lower_CI",28.5,555
10479,"upper_CI",35,99444
10485,"lower_CI",41.2,557
10485,"upper_CI",58.3,99442
10486,"lower_CI",43,559
10486,"upper_CI",60,99440
10492,"lower_CI",39.9,561
10492,"upper_CI",52.8,99438
10493,"lower_CI",19,563
10493,"upper_CI",31.5,99436
10494,"lower_CI",30.8,565
10494,"upper_CI",45.6,99434
10495,"lower_CI",26.6,567
10495,"upper_CI",39.2,99432
10496,"lower_CI",1.8,569
10496,"upper_CI",3.8,99430
10497,"lower_CI",43.1,571
10497,"upper_CI",57.8,99428
10498,"lower_CI",29.2,573
10498,"upper_CI",74.8,99426
10499,"lower_CI",21.3,575
10499,"upper_CI",33.2,99424
10500,"lower_CI",3,577
10500,"upper_CI",6.9,99422
10501,"lower_CI",23.3,579
10501,"upper_CI",29.8,99420
10502,"lower_CI",35.4,581
10502,"upper_CI",42.6,99418
10503,"lower_CI",4.5,583
10503,"upper_CI",9.5,99416
10504,"lower_CI",28,585
10504,"upper_CI",35.7,99414
10505,"lower_CI",37,587
10505,"upper_CI",53.3,99412
10506,"lower_CI",17,589
10506,"upper_CI",33.3,99410
10507,"lower_CI",28.2,591
10507,"upper_CI",45,99408
10508,"lower_CI",23,593
10508,"upper_CI",37.6,99406
10509,"lower_CI",43,595
10509,"upper_CI",54.8,99404
10510,"lower_CI",20.8,597
10510,"upper_CI",33.1,99402
10511,"lower_CI",21,599
10511,"upper_CI",31.2,99400
10512,"lower_CI",33.2,601
10512,"upper_CI",43.6,99398
10513,"lower_CI",24.3,603
10513,"upper_CI",38.8,99396
10514,"lower_CI",39.7,605
10514,"upper_CI",56.7,99394
10515,"lower_CI",18.3,607
10515,"upper_CI",32.4,99392
10516,"lower_CI",29,609
10516,"upper_CI",52.4,99390
10517,"lower_CI",27.4,611
10517,"upper_CI",46.6,99388
10518,"lower_CI",41.4,613
10518,"upper_CI",56.6,99386
10519,"lower_CI",19.1,615
10519,"upper_CI",36.4,99384
10520,"lower_CI",23.5,617
10520,"upper_CI",31.1,99382
10521,"lower_CI",33.6,619
10521,"upper_CI",46.2,99380
10522,"lower_CI",28,621
10522,"upper_CI",35,99378
10523,"lower_CI",39.4,623
10523,"upper_CI",53.2,99376
10524,"lower_CI",25.6,625
10524,"upper_CI",39.5,99374
10525,"lower_CI",36.8,627
10525,"upper_CI",62.6,99372
10526,"lower_CI",21.3,629
10526,"upper_CI",34.5,99370
10527,"lower_CI",24.1,631
10527,"upper_CI",31.1,99368
10528,"lower_CI",36.2,633
10528,"upper_CI",44.1,99366
10529,"lower_CI",30.2,635
10529,"upper_CI",52.2,99364
10530,"lower_CI",24.1,637
10530,"upper_CI",73.8,99362
10531,"lower_CI",16.6,639
10531,"upper_CI",44.1,99360
10532,"lower_CI",43.7,641
10532,"upper_CI",59.5,99358
10533,"lower_CI",14.2,643
10533,"upper_CI",29.8,99356
10534,"lower_CI",4.3,645
10534,"upper_CI",32.5,99354
10535,"lower_CI",17.8,647
10535,"upper_CI",40.2,99352
10536,"lower_CI",21.4,649
10536,"upper_CI",32.9,99350
10537,"lower_CI",40,651
10537,"upper_CI",51.1,99348
10538,"lower_CI",31.6,653
10538,"upper_CI",45.9,99346
10539,"lower_CI",47.7,655
10539,"upper_CI",68,99344
10540,"lower_CI",12.8,657
10540,"upper_CI",30.3,99342
10541,"lower_CI",11,659
10541,"upper_CI",23.8,99340
10542,"lower_CI",19.7,661
10542,"upper_CI",39.1,99338
10543,"lower_CI",15.4,663
10543,"upper_CI",32.1,99336
10544,"lower_CI",35.7,665
10544,"upper_CI",51.8,99334
10545,"lower_CI",25.1,667
10545,"upper_CI",39.1,99332
10546,"lower_CI",33.8,669
10546,"upper_CI",55.6,99330
10547,"lower_CI",18.2,671
10547,"upper_CI",24.7,99328
10548,"lower_CI",16.7,673
10548,"upper_CI",38.7,99326
10549,"lower_CI",29,675
10549,"upper_CI",42.7,99324
10550,"lower_CI",26.6,677
10550,"upper_CI",36.1,99322
10551,"lower_CI",35.5,679
10551,"upper_CI",57.3,99320
10552,"lower_CI",24.4,681
10552,"upper_CI",42,99318
10553,"lower_CI",17.3,683
10553,"upper_CI",35.4,99316
10554,"lower_CI",21.8,685
10554,"upper_CI",28.3,99314
10555,"lower_CI",31.3,687
10555,"upper_CI",40.6,99312
10556,"lower_CI",31,689
10556,"upper_CI",38,99310
10557,"lower_CI",37.8,691
10557,"upper_CI",56.6,99308
10558,"lower_CI",21.9,693
10558,"upper_CI",43.9,99306
10559,"lower_CI",20.1,695
10559,"upper_CI",40.2,99304
10560,"lower_CI",22.4,697
10560,"upper_CI",32.9,99302
10561,"lower_CI",35.8,699
10561,"upper_CI",50.4,99300
10562,"lower_CI",20.7,701
10562,"upper_CI",28.5,99298
10563,"lower_CI",44.5,703
10563,"upper_CI",63,99296
10564,"lower_CI",20.9,705
10564,"upper_CI",41.4,99294
10565,"lower_CI",37.5,707
10565,"upper_CI",53.4,99292
10566,"lower_CI",31.6,709
10566,"upper_CI",42.9,99290
10567,"lower_CI",24.5,711
10567,"upper_CI",41.9,99288
10568,"lower_CI",30.5,713
10568,"upper_CI",39.2,99286
10569,"lower_CI",43.8,715
10569,"upper_CI",53.3,99284
10570,"lower_CI",32.2,717
10570,"upper_CI",38.7,99282
10571,"lower_CI",30.9,719
10571,"upper_CI",49.3,99280
10572,"lower_CI",14.6,721
10572,"upper_CI",27.4,99278
10573,"lower_CI",19.4,723
10573,"upper_CI",41.8,99276
10574,"lower_CI",16.3,725
10574,"upper_CI",37,99274
10575,"lower_CI",14.4,727
10575,"upper_CI",28.7,99272
10576,"lower_CI",17.2,729
10576,"upper_CI",23.9,99270
10577,"lower_CI",27.9,731
10577,"upper_CI",36,99268
10691,"lower_CI",8.3,733
10691,"upper_CI",13,99266
10692,"lower_CI",23.1,735
10692,"upper_CI",33.6,99264
10694,"lower_CI",43.6,737
10694,"upper_CI",57.2,99262
10697,"lower_CI",81.5,739
10697,"upper_CI",94.3,99260
10698,"lower_CI",84.8,741
10698,"upper_CI",97.4,99258
10703,"lower_CI",60.4,743
10703,"upper_CI",75.7,99256
10704,"lower_CI",11.5,745
10704,"upper_CI",20.9,99254
10705,"lower_CI",10.6,747
10705,"upper_CI",21,99252
10706,"lower_CI",50.9,749
10706,"upper_CI",67.2,99250
10708,"lower_CI",3.5,751
10708,"upper_CI",8,99248
10710,"lower_CI",81,753
10710,"upper_CI",92.7,99246
10001,"lower_CI",6,755
10001,"upper_CI",15.1,99244
10002,"lower_CI",1.7,757
10002,"upper_CI",14.8,99242
10003,"lower_CI",2,759
10003,"upper_CI",16.6,99240
10004,"lower_CI",0.6,761
10004,"upper_CI",33.3,99238
10005,"lower_CI",4.6,763
10005,"upper_CI",11.2,99236
10006,"lower_CI",3,765
10006,"upper_CI",18.3,99234
10007,"lower_CI",6.9,767
10007,"upper_CI",18.8,99232
10008,"lower_CI",3.2,769
10008,"upper_CI",11.2,99230
10009,"lower_CI",1.3,771
10009,"upper_CI",20.6,99228
