"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"MN","2015","Wisconsin",55,"state","Wisconsin","WI","MN","15--18","13"
"MN","2015","Wisconsin",55,"state","Wisconsin","WI","MN","19--20","13"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","< 1","25210"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","1--2","66028"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","3--5","93799"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","6--9","123642"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","10--14","129064"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","15--18","90294"
"Total","2015","Wisconsin",55,"state","Wisconsin","WI","Total","19--20","32877"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","< 1","9042"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","1--2","26945"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","3--5","36924"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","6--9","48545"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","10--14","54108"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","15--18","40189"
"CN","2015","West Virginia",54,"state","West Virginia","WV","CN","19--20","10907"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","< 1","0"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","1--2","1"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","3--5","0"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","6--9","2"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","10--14","7"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","15--18","3"
"MN","2015","West Virginia",54,"state","West Virginia","WV","MN","19--20","28"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","< 1","9042"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","1--2","26946"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","3--5","36924"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","6--9","48547"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","10--14","54115"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","15--18","40192"
"Total","2015","West Virginia",54,"state","West Virginia","WV","Total","19--20","10935"
"CN","2015","Washington",53,"state","Washington","WA","CN","< 1","38304"
"CN","2015","Washington",53,"state","Washington","WA","CN","1--2","95764"
"CN","2015","Washington",53,"state","Washington","WA","CN","3--5","138849"
"CN","2015","Washington",53,"state","Washington","WA","CN","6--9","187526"
"CN","2015","Washington",53,"state","Washington","WA","CN","10--14","198275"
"CN","2015","Washington",53,"state","Washington","WA","CN","15--18","142245"
"CN","2015","Washington",53,"state","Washington","WA","CN","19--20","58095"
"MN","2015","Washington",53,"state","Washington","WA","MN","< 1","0"
"MN","2015","Washington",53,"state","Washington","WA","MN","1--2","0"
"MN","2015","Washington",53,"state","Washington","WA","MN","3--5","0"
"MN","2015","Washington",53,"state","Washington","WA","MN","6--9","0"
"MN","2015","Washington",53,"state","Washington","WA","MN","10--14","3"
"MN","2015","Washington",53,"state","Washington","WA","MN","15--18","5"
"MN","2015","Washington",53,"state","Washington","WA","MN","19--20","5"
"Total","2015","Washington",53,"state","Washington","WA","Total","< 1","38304"
"Total","2015","Washington",53,"state","Washington","WA","Total","1--2","95764"
"Total","2015","Washington",53,"state","Washington","WA","Total","3--5","138849"
"Total","2015","Washington",53,"state","Washington","WA","Total","6--9","187526"
"Total","2015","Washington",53,"state","Washington","WA","Total","10--14","198278"
"Total","2015","Washington",53,"state","Washington","WA","Total","15--18","142250"
"Total","2015","Washington",53,"state","Washington","WA","Total","19--20","58100"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","< 1","32425"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","1--2","83307"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","3--5","116047"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","6--9","155538"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","10--14","160182"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","15--18","108500"
"CN","2015","Virginia",51,"state","Virginia","VA","CN","19--20","34606"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","< 1","14"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","1--2","16"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","3--5","5"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","6--9","9"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","10--14","8"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","15--18","16"
"MN","2015","Virginia",51,"state","Virginia","VA","MN","19--20","17"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","< 1","32439"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","1--2","83323"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","3--5","116052"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","6--9","155547"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","10--14","160190"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","15--18","108516"
"Total","2015","Virginia",51,"state","Virginia","VA","Total","19--20","34623"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","< 1","2547"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","1--2","7722"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","3--5","11729"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","6--9","15901"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","10--14","18697"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","15--18","14117"
"CN","2015","Vermont",50,"state","Vermont","VT","CN","19--20","5593"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","< 1","22"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","1--2","112"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","3--5","129"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","6--9","146"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","10--14","196"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","15--18","317"
"MN","2015","Vermont",50,"state","Vermont","VT","MN","19--20","691"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","< 1","2569"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","1--2","7834"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","3--5","11858"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","6--9","16047"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","10--14","18893"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","15--18","14434"
"Total","2015","Vermont",50,"state","Vermont","VT","Total","19--20","6284"
"CN","2015","Utah",49,"state","Utah","UT","CN","< 1","16151"
"CN","2015","Utah",49,"state","Utah","UT","CN","1--2","33082"
"CN","2015","Utah",49,"state","Utah","UT","CN","3--5","41186"
