"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","< 1","31835"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","1--2","77456"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","3--5","106910"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","6--9","145469"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","10--14","153102"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","15--18","107883"
"CN","2016","Maryland",24,"state","Maryland","MD","CN","19--20","44687"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","< 1","0"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","1--2","24"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","3--5","30"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","6--9","35"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","10--14","77"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","15--18","61"
"MN","2016","Maryland",24,"state","Maryland","MD","MN","19--20","90"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","< 1","31835"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","1--2","77480"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","3--5","106940"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","6--9","145504"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","10--14","153179"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","15--18","107944"
"Total","2016","Maryland",24,"state","Maryland","MD","Total","19--20","44777"
"CN","2016","Maine",23,"state","Maine","ME","CN","< 1","5283"
"CN","2016","Maine",23,"state","Maine","ME","CN","1--2","13176"
"CN","2016","Maine",23,"state","Maine","ME","CN","3--5","18757"
"CN","2016","Maine",23,"state","Maine","ME","CN","6--9","26448"
"CN","2016","Maine",23,"state","Maine","ME","CN","10--14","30413"
"CN","2016","Maine",23,"state","Maine","ME","CN","15--18","22744"
"CN","2016","Maine",23,"state","Maine","ME","CN","19--20","9661"
"MN","2016","Maine",23,"state","Maine","ME","MN","< 1","0"
"MN","2016","Maine",23,"state","Maine","ME","MN","1--2","2"
"MN","2016","Maine",23,"state","Maine","ME","MN","3--5","2"
"MN","2016","Maine",23,"state","Maine","ME","MN","6--9","3"
"MN","2016","Maine",23,"state","Maine","ME","MN","10--14","6"
"MN","2016","Maine",23,"state","Maine","ME","MN","15--18","3"
"MN","2016","Maine",23,"state","Maine","ME","MN","19--20","0"
"Total","2016","Maine",23,"state","Maine","ME","Total","< 1","5283"
"Total","2016","Maine",23,"state","Maine","ME","Total","1--2","13178"
"Total","2016","Maine",23,"state","Maine","ME","Total","3--5","18759"
"Total","2016","Maine",23,"state","Maine","ME","Total","6--9","26451"
"Total","2016","Maine",23,"state","Maine","ME","Total","10--14","30419"
"Total","2016","Maine",23,"state","Maine","ME","Total","15--18","22747"
"Total","2016","Maine",23,"state","Maine","ME","Total","19--20","9661"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","< 1","36458"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","1--2","91483"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","3--5","132845"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","6--9","184590"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","10--14","204862"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","15--18","151633"
"CN","2016","Louisiana",22,"state","Louisiana","LA","CN","19--20","54865"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","< 1","12"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","1--2","3"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","3--5","3"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","6--9","6"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","10--14","5"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","15--18","7"
"MN","2016","Louisiana",22,"state","Louisiana","LA","MN","19--20","10"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","< 1","36470"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","1--2","91486"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","3--5","132848"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","6--9","184596"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","10--14","204867"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","15--18","151640"
"Total","2016","Louisiana",22,"state","Louisiana","LA","Total","19--20","54875"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","< 1","24581"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","1--2","66640"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","3--5","91385"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","6--9","122112"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","10--14","134871"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","15--18","96807"
"CN","2016","Kentucky",21,"state","Kentucky","KY","CN","19--20","21635"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","< 1","40"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","1--2","1000"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","3--5","2131"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","6--9","3302"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","10--14","3712"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","15--18","3633"
"MN","2016","Kentucky",21,"state","Kentucky","KY","MN","19--20","355"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","< 1","24621"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","1--2","67640"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","3--5","93516"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","6--9","125414"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","10--14","138583"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","15--18","100440"
"Total","2016","Kentucky",21,"state","Kentucky","KY","Total","19--20","21990"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","< 1","14512"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","1--2","35695"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","3--5","48841"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","6--9","63571"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","10--14","66046"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","15--18","42996"
"CN","2016","Kansas",20,"state","Kansas","KS","CN","19--20","10981"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","< 1","1"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","1--2","2"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","3--5","4"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","6--9","0"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","10--14","0"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","15--18","3"
"MN","2016","Kansas",20,"state","Kansas","KS","MN","19--20","25"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","< 1","14513"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","1--2","35697"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","3--5","48845"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","6--9","63571"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","10--14","66046"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","15--18","42999"
"Total","2016","Kansas",20,"state","Kansas","KS","Total","19--20","11006"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","< 1","17283"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","1--2","41493"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","3--5","51826"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","6--9","69765"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","10--14","75179"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","15--18","51658"
"CN","2016","Iowa",19,"state","Iowa","IA","CN","19--20","22564"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","< 1","0"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","1--2","3"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","3--5","3"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","6--9","3"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","10--14","0"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","15--18","3"
"MN","2016","Iowa",19,"state","Iowa","IA","MN","19--20","2"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","< 1","17283"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","1--2","41496"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","3--5","51829"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","6--9","69768"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","10--14","75179"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","15--18","51661"
"Total","2016","Iowa",19,"state","Iowa","IA","Total","19--20","22566"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","< 1","34432"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","1--2","94941"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","3--5","126476"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","6--9","168693"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","10--14","184715"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","15--18","127887"
"CN","2016","Indiana",18,"state","Indiana","IN","CN","19--20","45659"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","< 1","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","1--2","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","3--5","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","6--9","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","10--14","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","15--18","0"
"MN","2016","Indiana",18,"state","Indiana","IN","MN","19--20","0"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","< 1","34432"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","1--2","94941"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","3--5","126476"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","6--9","168693"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","10--14","184715"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","15--18","127887"
"Total","2016","Indiana",18,"state","Indiana","IN","Total","19--20","45659"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","< 1","62994"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","1--2","167047"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","3--5","226912"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","6--9","315702"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","10--14","355713"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","15--18","250782"
"CN","2016","Illinois",17,"state","Illinois","IL","CN","19--20","101710"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","< 1","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","1--2","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","3--5","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","6--9","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","10--14","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","15--18","0"
"MN","2016","Illinois",17,"state","Illinois","IL","MN","19--20","0"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","< 1","62994"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","1--2","167047"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","3--5","226912"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","6--9","315702"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","10--14","355713"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","15--18","250782"
"Total","2016","Illinois",17,"state","Illinois","IL","Total","19--20","101710"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","< 1","9103"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","1--2","26484"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","3--5","36791"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","6--9","48188"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","10--14","52602"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","15--18","35241"
"CN","2016","Idaho",16,"state","Idaho","ID","CN","19--20","7938"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","< 1","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","1--2","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","3--5","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","6--9","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","10--14","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","15--18","0"
"MN","2016","Idaho",16,"state","Idaho","ID","MN","19--20","0"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","< 1","9103"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","1--2","26484"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","3--5","36791"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","6--9","48188"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","10--14","52602"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","15--18","35241"
"Total","2016","Idaho",16,"state","Idaho","ID","Total","19--20","7938"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","< 1","5643"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","1--2","15569"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","3--5","25166"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","6--9","31189"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","10--14","36199"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","15--18","25735"
"CN","2016","Hawaii",15,"state","Hawaii","HI","CN","19--20","10700"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","< 1","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","1--2","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","3--5","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","6--9","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","10--14","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","15--18","0"
"MN","2016","Hawaii",15,"state","Hawaii","HI","MN","19--20","0"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","< 1","5643"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","1--2","15569"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","3--5","25166"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","6--9","31189"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","10--14","36199"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","15--18","25735"
"Total","2016","Hawaii",15,"state","Hawaii","HI","Total","19--20","10700"
"CN","2016","Guam",66,"territory","Guam","GU","CN","< 1","3066"
"CN","2016","Guam",66,"territory","Guam","GU","CN","1--2","3429"
"CN","2016","Guam",66,"territory","Guam","GU","CN","3--5","4686"
"CN","2016","Guam",66,"territory","Guam","GU","CN","6--9","5717"
"CN","2016","Guam",66,"territory","Guam","GU","CN","10--14","5809"
"CN","2016","Guam",66,"territory","Guam","GU","CN","15--18","4059"
"CN","2016","Guam",66,"territory","Guam","GU","CN","19--20","1163"
"MN","2016","Guam",66,"territory","Guam","GU","MN","< 1","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","1--2","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","3--5","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","6--9","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","10--14","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","15--18","0"
"MN","2016","Guam",66,"territory","Guam","GU","MN","19--20","0"
"Total","2016","Guam",66,"territory","Guam","GU","Total","< 1","3066"
"Total","2016","Guam",66,"territory","Guam","GU","Total","1--2","3429"
"Total","2016","Guam",66,"territory","Guam","GU","Total","3--5","4686"
"Total","2016","Guam",66,"territory","Guam","GU","Total","6--9","5717"
"Total","2016","Guam",66,"territory","Guam","GU","Total","10--14","5809"
"Total","2016","Guam",66,"territory","Guam","GU","Total","15--18","4059"
"Total","2016","Guam",66,"territory","Guam","GU","Total","19--20","1163"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","< 1","63689"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","1--2","164058"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","3--5","224738"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","6--9","305710"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","10--14","329378"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","15--18","223050"
"CN","2016","Georgia",13,"state","Georgia","GA","CN","19--20","48949"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","< 1","1"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","1--2","4"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","3--5","8"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","6--9","17"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","10--14","20"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","15--18","16"
"MN","2016","Georgia",13,"state","Georgia","GA","MN","19--20","2"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","< 1","63690"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","1--2","164062"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","3--5","224746"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","6--9","305727"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","10--14","329398"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","15--18","223066"
"Total","2016","Georgia",13,"state","Georgia","GA","Total","19--20","48951"
"CN","2016","Florida",12,"state","Florida","FL","CN","< 1","121316"
"CN","2016","Florida",12,"state","Florida","FL","CN","1--2","297588"
"CN","2016","Florida",12,"state","Florida","FL","CN","3--5","403864"
"CN","2016","Florida",12,"state","Florida","FL","CN","6--9","534339"
"CN","2016","Florida",12,"state","Florida","FL","CN","10--14","583594"
"CN","2016","Florida",12,"state","Florida","FL","CN","15--18","414456"
"CN","2016","Florida",12,"state","Florida","FL","CN","19--20","130224"
"MN","2016","Florida",12,"state","Florida","FL","MN","< 1","144"
"MN","2016","Florida",12,"state","Florida","FL","MN","1--2","875"
"MN","2016","Florida",12,"state","Florida","FL","MN","3--5","1025"
"MN","2016","Florida",12,"state","Florida","FL","MN","6--9","2302"
"MN","2016","Florida",12,"state","Florida","FL","MN","10--14","2579"
"MN","2016","Florida",12,"state","Florida","FL","MN","15--18","2439"
"MN","2016","Florida",12,"state","Florida","FL","MN","19--20","7729"
"Total","2016","Florida",12,"state","Florida","FL","Total","< 1","121460"
"Total","2016","Florida",12,"state","Florida","FL","Total","1--2","298463"
"Total","2016","Florida",12,"state","Florida","FL","Total","3--5","404889"
"Total","2016","Florida",12,"state","Florida","FL","Total","6--9","536641"
"Total","2016","Florida",12,"state","Florida","FL","Total","10--14","586173"
"Total","2016","Florida",12,"state","Florida","FL","Total","15--18","416895"
"Total","2016","Florida",12,"state","Florida","FL","Total","19--20","137953"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","< 1","4666"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","1--2","11120"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","3--5","16203"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","6--9","20605"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","10--14","19623"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","15--18","14372"
"CN","2016","District of Columbia",NA,NA,NA,NA,"CN","19--20","7490"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","< 1","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","1--2","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","3--5","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","6--9","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","10--14","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","15--18","0"
"MN","2016","District of Columbia",NA,NA,NA,NA,"MN","19--20","1"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","< 1","4666"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","1--2","11120"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","3--5","16203"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","6--9","20605"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","10--14","19623"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","15--18","14372"
"Total","2016","District of Columbia",NA,NA,NA,NA,"Total","19--20","7491"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","< 1","4951"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","1--2","12783"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","3--5","17921"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","6--9","24300"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","10--14","26319"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","15--18","17921"
"CN","2016","Delaware",10,"state","Delaware","DE","CN","19--20","8489"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","< 1","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","1--2","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","3--5","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","6--9","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","10--14","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","15--18","0"
"MN","2016","Delaware",10,"state","Delaware","DE","MN","19--20","0"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","< 1","4951"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","1--2","12783"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","3--5","17921"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","6--9","24300"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","10--14","26319"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","15--18","17921"
"Total","2016","Delaware",10,"state","Delaware","DE","Total","19--20","8489"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","< 1","13377"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","1--2","36806"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","3--5","53163"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","6--9","73399"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","10--14","84732"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","15--18","64615"
"CN","2016","Connecticut",9,"state","Connecticut","CT","CN","19--20","29741"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","< 1","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","1--2","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","3--5","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","6--9","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","10--14","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","15--18","0"
"MN","2016","Connecticut",9,"state","Connecticut","CT","MN","19--20","0"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","< 1","13377"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","1--2","36806"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","3--5","53163"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","6--9","73399"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","10--14","84732"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","15--18","64615"
"Total","2016","Connecticut",9,"state","Connecticut","CT","Total","19--20","29741"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","< 1","24824"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","1--2","69001"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","3--5","100289"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","6--9","141353"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","10--14","158444"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","15--18","106213"
"CN","2016","Colorado",8,"state","Colorado","CO","CN","19--20","47114"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","< 1","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","1--2","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","3--5","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","6--9","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","10--14","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","15--18","0"
"MN","2016","Colorado",8,"state","Colorado","CO","MN","19--20","0"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","< 1","24824"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","1--2","69001"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","3--5","100289"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","6--9","141353"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","10--14","158444"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","15--18","106213"
"Total","2016","Colorado",8,"state","Colorado","CO","Total","19--20","47114"
"CN","2016","California",6,"state","California","CA","CN","< 1","217236"
"CN","2016","California",6,"state","California","CA","CN","1--2","580870"
"CN","2016","California",6,"state","California","CA","CN","3--5","864651"
"CN","2016","California",6,"state","California","CA","CN","6--9","1199471"
"CN","2016","California",6,"state","California","CA","CN","10--14","1391314"
"CN","2016","California",6,"state","California","CA","CN","15--18","1050731"
"CN","2016","California",6,"state","California","CA","CN","19--20","440129"
"MN","2016","California",6,"state","California","CA","MN","< 1","2559"
"MN","2016","California",6,"state","California","CA","MN","1--2","18233"
"MN","2016","California",6,"state","California","CA","MN","3--5","32798"
"MN","2016","California",6,"state","California","CA","MN","6--9","46678"
"MN","2016","California",6,"state","California","CA","MN","10--14","52246"
"MN","2016","California",6,"state","California","CA","MN","15--18","42955"
"MN","2016","California",6,"state","California","CA","MN","19--20","50867"
"Total","2016","California",6,"state","California","CA","Total","< 1","219795"
"Total","2016","California",6,"state","California","CA","Total","1--2","599103"
"Total","2016","California",6,"state","California","CA","Total","3--5","897449"
"Total","2016","California",6,"state","California","CA","Total","6--9","1246149"
"Total","2016","California",6,"state","California","CA","Total","10--14","1443560"
"Total","2016","California",6,"state","California","CA","Total","15--18","1093686"
"Total","2016","California",6,"state","California","CA","Total","19--20","490996"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","< 1","19391"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","1--2","51781"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","3--5","76398"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","6--9","102248"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","10--14","108606"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","15--18","75805"
"CN","2016","Arkansas",5,"state","Arkansas","AR","CN","19--20","29806"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","< 1","0"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","1--2","2"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","3--5","7"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","6--9","20"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","10--14","22"
