"id","confidence_level","confidence_value","order"
8418,"lower_CI",3.3,621
8418,"upper_CI",4.6,9378
8437,"lower_CI",1.7,623
8437,"upper_CI",4.1,9376
8456,"lower_CI",2.4,625
8456,"upper_CI",3.3,9374
8475,"lower_CI",2.6,627
8475,"upper_CI",3.1,9372
8494,"lower_CI",1.1,629
8494,"upper_CI",2.5,9370
8513,"lower_CI",2.3,631
8513,"upper_CI",5.4,9368
8532,"lower_CI",2.3,633
8532,"upper_CI",3.1,9366
8551,"lower_CI",2.4,635
8551,"upper_CI",3.3,9364
8570,"lower_CI",1.4,637
8570,"upper_CI",2.6,9362
8589,"lower_CI",2.1,639
8589,"upper_CI",3,9360
8608,"lower_CI",1.6,641
8608,"upper_CI",5,9358
1892,"lower_CI",45.5,643
1892,"upper_CI",58.4,9356
1896,"lower_CI",14.3,645
1896,"upper_CI",29.1,9354
2015,"lower_CI",37.7,647
2015,"upper_CI",54,9352
2099,"lower_CI",3,649
2099,"upper_CI",7.3,9350
4377,"lower_CI",73.8,651
4377,"upper_CI",82.8,9348
4378,"lower_CI",62.9,653
4378,"upper_CI",69.2,9346
4379,"lower_CI",72.7,655
4379,"upper_CI",78.1,9344
4384,"lower_CI",65.7,657
4384,"upper_CI",71.6,9342
5672,"lower_CI",10.7,659
5672,"upper_CI",10.9,9340
5691,"lower_CI",11,661
5691,"upper_CI",13.1,9338
5710,"lower_CI",7.9,663
5710,"upper_CI",14.5,9336
5729,"lower_CI",7.7,665
5729,"upper_CI",9.3,9334
5746,"lower_CI",9.1,667
5746,"upper_CI",11.5,9332
5765,"lower_CI",10.1,669
5765,"upper_CI",10.9,9330
5784,"lower_CI",8.1,671
5784,"upper_CI",10.1,9328
5803,"lower_CI",8.8,673
5803,"upper_CI",10.9,9326
5822,"lower_CI",10.5,675
5822,"upper_CI",15.5,9324
5841,"lower_CI",9.1,677
5841,"upper_CI",15,9322
5860,"lower_CI",13.7,679
5860,"upper_CI",14.8,9320
5879,"lower_CI",11.2,681
5879,"upper_CI",12.8,9318
5898,"lower_CI",8.5,683
5898,"upper_CI",12.1,9316
5917,"lower_CI",9.7,685
5917,"upper_CI",13.6,9314
5936,"lower_CI",9.9,687
5936,"upper_CI",11,9312
5955,"lower_CI",9.8,689
5955,"upper_CI",11.5,9310
5974,"lower_CI",10.2,691
5974,"upper_CI",12.6,9308
5993,"lower_CI",8.8,693
5993,"upper_CI",11.3,9306
6012,"lower_CI",10.3,695
6012,"upper_CI",12.3,9304
6031,"lower_CI",11.1,697
6031,"upper_CI",13.2,9302
6050,"lower_CI",11.7,699
6050,"upper_CI",15.5,9300
6069,"lower_CI",9.2,701
6069,"upper_CI",10.9,9298
6088,"lower_CI",9.9,703
6088,"upper_CI",11.4,9296
6107,"lower_CI",10.3,705
6107,"upper_CI",11.6,9294
6126,"lower_CI",9.9,707
6126,"upper_CI",11.7,9292
6160,"lower_CI",9.8,709
6160,"upper_CI",11.5,9290
6179,"lower_CI",9.2,711
6179,"upper_CI",13.5,9288
6198,"lower_CI",10.7,713
6198,"upper_CI",14,9286
6217,"lower_CI",10.7,715
6217,"upper_CI",13.8,9284
6236,"lower_CI",8.4,717
6236,"upper_CI",11.9,9282
6255,"lower_CI",9.3,719
6255,"upper_CI",10.6,9280
6274,"lower_CI",8.6,721
6274,"upper_CI",11.6,9278
6293,"lower_CI",9.3,723
6293,"upper_CI",10.2,9276
6312,"lower_CI",10.2,725
6312,"upper_CI",11.6,9274
6331,"lower_CI",7.6,727
6331,"upper_CI",12.5,9272
6350,"lower_CI",8.7,729
6350,"upper_CI",9.8,9270
6369,"lower_CI",11.2,731
6369,"upper_CI",13.5,9268
6388,"lower_CI",10.3,733
6388,"upper_CI",12.5,9266
6407,"lower_CI",9.5,735
6407,"upper_CI",10.6,9264
6426,"lower_CI",7.5,737
6426,"upper_CI",11.1,9262
6445,"lower_CI",10.9,739
6445,"upper_CI",13.1,9260
6462,"lower_CI",8.1,741
6462,"upper_CI",12.7,9258
6481,"lower_CI",8.7,743
6481,"upper_CI",10.3,9256
6500,"lower_CI",10.7,745
6500,"upper_CI",11.7,9254
6519,"lower_CI",7.6,747
6519,"upper_CI",10.5,9252
6538,"lower_CI",8,749
6538,"upper_CI",13.2,9250
6557,"lower_CI",9.1,751
6557,"upper_CI",10.6,9248
6576,"lower_CI",10.5,753
6576,"upper_CI",12.3,9246
6595,"lower_CI",8.6,755
6595,"upper_CI",11.4,9244
6614,"lower_CI",10.5,757
6614,"upper_CI",12.3,9242
6633,"lower_CI",5.7,759
6633,"upper_CI",10.9,9240
6652,"lower_CI",2.7,761
6652,"upper_CI",2.8,9238
6671,"lower_CI",2.2,763
6671,"upper_CI",3.1,9236
6690,"lower_CI",2.5,765
6690,"upper_CI",7.8,9234
6709,"lower_CI",1.9,767
6709,"upper_CI",2.7,9232
6728,"lower_CI",2.5,769
6728,"upper_CI",3.8,9230
6747,"lower_CI",2.6,771
6747,"upper_CI",3,9228
6766,"lower_CI",1.6,773
6766,"upper_CI",2.6,9226
6785,"lower_CI",2.1,775
6785,"upper_CI",3.2,9224
6804,"lower_CI",1.5,777
6804,"upper_CI",3.8,9222
6823,"lower_CI",2.3,779
6823,"upper_CI",5.7,9220
6842,"lower_CI",2.8,781
6842,"upper_CI",3.3,9218
6861,"lower_CI",2.6,783
6861,"upper_CI",3.5,9216
6880,"lower_CI",2.1,785
6880,"upper_CI",4,9214
6899,"lower_CI",2.3,787
6899,"upper_CI",4.3,9212
6918,"lower_CI",2.2,789
6918,"upper_CI",2.8,9210
6937,"lower_CI",1.8,791
6937,"upper_CI",2.5,9208
6956,"lower_CI",1.7,793
6956,"upper_CI",2.8,9206
6975,"lower_CI",1.9,795
6975,"upper_CI",3.1,9204
6994,"lower_CI",2.6,797
6994,"upper_CI",3.8,9202
7013,"lower_CI",3,799
7013,"upper_CI",4.2,9200
7032,"lower_CI",2.3,801
7032,"upper_CI",4.2,9198
7051,"lower_CI",2.3,803
7051,"upper_CI",3.3,9196
7070,"lower_CI",2.3,805
7070,"upper_CI",3.1,9194
7089,"lower_CI",2.3,807
7089,"upper_CI",2.9,9192
7108,"lower_CI",2,809
7108,"upper_CI",2.9,9190
7127,"lower_CI",3.2,811
7127,"upper_CI",4.7,9188
7146,"lower_CI",1.9,813
7146,"upper_CI",2.7,9186
7165,"lower_CI",1.3,815
7165,"upper_CI",3.3,9184
7184,"lower_CI",1.5,817
7184,"upper_CI",2.9,9182
7203,"lower_CI",1.9,819
7203,"upper_CI",3.4,9180
7222,"lower_CI",2.1,821
7222,"upper_CI",4.1,9178
7241,"lower_CI",2.5,823
7241,"upper_CI",3.2,9176
7260,"lower_CI",1.2,825
7260,"upper_CI",2.5,9174
7279,"lower_CI",2.4,827
7279,"upper_CI",2.8,9172
7298,"lower_CI",2.2,829
7298,"upper_CI",2.9,9170
7317,"lower_CI",2.3,831
7317,"upper_CI",5.2,9168
7336,"lower_CI",2.2,833
7336,"upper_CI",2.8,9166
7355,"lower_CI",2.2,835
7355,"upper_CI",3.3,9164
7374,"lower_CI",2.6,837
7374,"upper_CI",3.8,9162
7393,"lower_CI",2.3,839
7393,"upper_CI",2.8,9160
7412,"lower_CI",1.9,841
7412,"upper_CI",3.9,9158
7431,"lower_CI",2.9,843
7431,"upper_CI",4.1,9156
7450,"lower_CI",1.5,845
7450,"upper_CI",3.8,9154
7469,"lower_CI",2.9,847
7469,"upper_CI",3.9,9152
7488,"lower_CI",2.6,849
7488,"upper_CI",3.1,9150
7507,"lower_CI",1.3,851
7507,"upper_CI",2.7,9148
7526,"lower_CI",0.9,853
7526,"upper_CI",3.2,9146
