provider_language_id,provider_id,language
4247,1090017,Hindi
4248,1090017, Indian
4249,1090017, Punjabi
4250,1090017,Arabic
4252,1090235,Arabic
4253,1090235, Cantonese
4255,1090235,Spanish
4256,1090161,Spanish
4258,1090479,Persian
4260,1090479,Spanish
4261,1090818,Persian
4263,1090818, Spanish
4264,1090818,Chinese
4265,1090818, Persian
4268,1091059,Spanish
4270,1090171,Chinese
4271,1090171, Russian
4273,1089897,Persian
4274,1089897, Hindi
4275,1089897, Indian
4277,1089897,Spanish
4278,1089847,Spanish
4280,1090565,Spanish
4282,1090747,Persian
4283,1090747, Spanish
4285,1090747,Spanish
4286,1090747, Hebrew
4290,1091015,German
4291,1091015, Russian
4293,1091015,Spanish
4294,1090926,Spanish
4296,1090926,Persian
4297,1090926, Hindi
4298,1090926, Indian
4299,1090926, Vietnamese
4300,1090994,Spanish
4303,1090673,Spanish
4305,1089619,Persian
4306,1089619, Hebrew
4308,1090080,Spanish
4310,1090666,Persian
4311,1090666, Hebrew
4313,1090666,Chinese
4314,1090666, Spanish
4315,1089901,Hindi
4316,1089901, Indian
4317,1089901, Korean
4319,1089901,Mandarin
4320,1089901, Navajo
4321,1089901, Spanish
4322,1089901,Spanish
4323,1090822,Spanish
4325,1090105,Spanish
4327,1090105, Vietnamese
4328,1090105,Arabic
4329,1090105, Persian
4330,1089938,Italian
4331,1089938, Polish
4333,1089938,Spanish
4335,1090907,Hindi
4336,1090907, Indian
4337,1090907, Spanish
4339,1090907,Arabic
4340,1090907, French
4341,1090907,Spanish
4342,1090870,Spanish
4345,1091038,Spanish
4347,1090194,French
4348,1090194, Hebrew
4350,1090194,Spanish
4351,1089755,Arabic
4352,1089755, Hindi
4353,1089755, Indian
4355,1089755,Hindi
4356,1089755, Spanish
4357,1089848,Spanish
4359,1089848,Chinese
4360,1089848, Persian
4362,1089825,Albanian
4363,1089825, Arabic
4364,1089825,Spanish
4365,1089825,Arabic
4366,1089825, Spanish
4367,1090455,Chinese
4369,1090455,Bosnian
4370,1090455, Chinese
4371,1090455, German
4372,1090455,Persian
4373,1090455, Hebrew
4374,1090999,Spanish
4376,1089660,Spanish
4378,1089660,Korean
